"SchoolYear","State","LEA_ID","LEA","Group","Description","Value","Value_Min","Value_Max","Denominator","Grade","Subject"
"2018-2019","OHIO",NA,NA,585,"Performance on Statewide Science Assessment","72.9",72.9,72.9,131872,"High School","Science"
"2018-2019","OHIO",3900022,"Autism Model School",583,"Performance on Statewide Mathematics Assessment","GE50",50,100,6,"High School","Mathematics"
"2018-2019","OHIO",3900031,"Cincinnati College Preparatory Academy",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,44,"High School","Mathematics"
"2018-2019","OHIO",3900040,"Horizon Science Acad Cleveland",583,"Performance on Statewide Mathematics Assessment","15-19",15,19,64,"High School","Mathematics"
"2018-2019","OHIO",3900042,"Horizon Science Academy Columbus",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,136,"High School","Mathematics"
"2018-2019","OHIO",3900052,"Invictus High School",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,62,"High School","Mathematics"
"2018-2019","OHIO",3900053,"Towpath Trail High School",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,83,"High School","Mathematics"
"2018-2019","OHIO",3900056,"Toledo School For The Arts",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,100,"High School","Mathematics"
"2018-2019","OHIO",3900068,"Constellation Schools: Parma Community",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,105,"High School","Mathematics"
"2018-2019","OHIO",3900077,"Lighthouse Community Sch Inc",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,10,"High School","Mathematics"
"2018-2019","OHIO",3900080,"Graham School, The",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,83,"High School","Mathematics"
"2018-2019","OHIO",3900084,"River Gate High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,23,"High School","Mathematics"
"2018-2019","OHIO",3900086,"Life Skills Ctr Of Cincinnati",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,39,"High School","Mathematics"
"2018-2019","OHIO",3900094,"Monroe Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,161,"High School","Mathematics"
"2018-2019","OHIO",3900097,"Summit Academy Community School Alternative Learners -Xenia",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,17,"High School","Mathematics"
"2018-2019","OHIO",3900100,"Cliff Park High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,17,"High School","Mathematics"
"2018-2019","OHIO",3900101,"Marshall High School",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,43,"High School","Mathematics"
"2018-2019","OHIO",3900104,"YB Columbus Community School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,15,"High School","Mathematics"
"2018-2019","OHIO",3900106,"Dohn Community",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,195,"High School","Mathematics"
"2018-2019","OHIO",3900113,"Phoenix Community Learning Ctr",583,"Performance on Statewide Mathematics Assessment","21-39",21,39,23,"High School","Mathematics"
"2018-2019","OHIO",3900117,"The Autism Academy Of Learning",583,"Performance on Statewide Mathematics Assessment","PS",NA,NA,2,"High School","Mathematics"
"2018-2019","OHIO",3900118,"TRECA Digital Academy",583,"Performance on Statewide Mathematics Assessment","14",14,14,307,"High School","Mathematics"
"2018-2019","OHIO",3900123,"Sciotoville",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,32,"High School","Mathematics"
"2018-2019","OHIO",3900127,"Glass City Academy",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,22,"High School","Mathematics"
"2018-2019","OHIO",3900138,"Wildwood Environmental Academy",583,"Performance on Statewide Mathematics Assessment","21-39",21,39,18,"High School","Mathematics"
"2018-2019","OHIO",3900145,"Tomorrow Center",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,23,"High School","Mathematics"
"2018-2019","OHIO",3900146,"Mahoning Unlimited Classroom",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,21,"High School","Mathematics"
"2018-2019","OHIO",3900151,"Goal Digital Academy",583,"Performance on Statewide Mathematics Assessment","6-9",6,9,128,"High School","Mathematics"
"2018-2019","OHIO",3900155,"Fairborn Digital Academy",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,60,"High School","Mathematics"
"2018-2019","OHIO",3900175,"Stark High School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,11,"High School","Mathematics"
"2018-2019","OHIO",3900176,"Life Skills Center of Elyria",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,35,"High School","Mathematics"
"2018-2019","OHIO",3900177,"Focus Learning Academy of Southwest Columbus",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,35,"High School","Mathematics"
"2018-2019","OHIO",3900178,"Focus Learning Academy of Southeastern Columbus",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,49,"High School","Mathematics"
"2018-2019","OHIO",3900180,"Ohio Virtual Academy",583,"Performance on Statewide Mathematics Assessment","20",20,20,1738,"High School","Mathematics"
